signevent,q1,q2,unid,id,outcome_class
My brothers wedding,"My little brother is getting married next Saturday, we have always been close as we lost our parents when we were in our late teens. I am so proud of the man he has become and love him dearly. The wedding is taking in an old castle and has taken much planning. He has found a wonderful partner in Kate and its going to be the most magical day. We have family and friends coming from far and wide to celebrate and I am super excited. My two sons are page boys and my brothers little one is a flower girl. ",My brother and Kate have a daughter who will be flower girl.,FU304384,1,t
Going to collect 2 new pet rabbits,I will be driving for 80-90 minutes across London to collect 2 rabbits that I saw advertised on gumtree.,"I saw the as for them a week ago but was going away for the weekend so I asked it the current owners would keep them til tomorrow. I was very surprised when they said they would. My fiance is the driver and he agreed to drive me to pick them up, my 2 children will be coming as well. They have already decided to call one of the rabbits Cutie",jr125663,2,t
Getting dinner with my friend Shan and my boyfriend Geoff. Then going out to the gay bars in South London.,"We were planning to get dinner somewhere near where Shan lives, probably around Clapham Junction. I would also like Geoff, who is not from London but has recently moved here, to explore South London, as I think he would like it","I haven't seen Shan in a while and have been meaning to get dinner with him, along with my boyfriend Geoff, for some time now. This is because Shan runs a television studio and Geoff has just graduated and would like to work in television / media; I wanted the opportunity for Geoff to pick Shan's brain and get some ideas and reassurance.",xE150711,3,t
mountain bike ride with my boyfriend and daughter,We are going to cannock chase with the mountain bikes and my daughter in the trailer to have a day riding the mountain bike trails. we will also have a picnic and play at the park.,We will be taking our trek and wonder mountain bikes. The trail is around 10 miles long and we plan to do it on saturday morning before it gets too warm,RA263881,4,t
I will be going to the cat cafe in Glasgow on Tuesday for food and then to the cinema for a film.,"I will be getting up Tuesday morning to go into the city via train to meet with my best friend. We are going to have lunch at the Purrple Cat Cafe as neither of us have been before. Following this, we will make our way to the cinema to see a film, perhaps Mamma Mia 2, as a belated birthday treat for myself.","I have looked into the cat cafe to know that they serve food, and I have also checked for cinema listings which aren't due out until tomorrow unfortunately.",RD298286,5,t
Painting with friends at my local cafe.,"Sometimes on the weekends me and three of my friends like to head to our local coffee shop/cafe and paint together. We bring little sketchbooks lined with watercolor or gouache paper and set up camp near one of the bay windows with lots of good natural light.

 One of my friends is a black and white kinda guy but I like to paint in color. I bring 6 tiny pots of watercolors in an Altoids tin. It's very adorable. Everyone chats, paints, listens to music and indulges in an extra fancy latte...or several. Our sessions last for about 4 hours and  it's a pretty cozy fun time.",We all went to art school together and it's just a hobby we all formed. We usually start in the late mornings and paint til the afternoon. ,rF553577,6,t
BBQ with friends on Friday ,"A friend of mine is dog sitting for her parents. They live in a more rural location, it’s not far from town but feels like it’s the middle of nowhere. They have a small house surrounded by a lot of land which is great for an outdoor gathering and this current weather makes a bbq an obvious choice of activity. ","I can provide more detail. We haven’t managed to get together as a large group in a while. There are 12 people invited although probably only half will make it (I’d expect myself, Annika, Sammy, Lou, Kelly and Ryan. The others are maybes). She’s dog sitting for Asbo (an elderly dog, I’m not sure of the breed but he’s massive and fluffy) and a Vizla who is younger and much more energetic - I can’t remember her name, something beginning with H).  There are also a load of chickens. Last time I visited, I was sent away with a dozen eggs ",pv683916,7,t
Going swimming with my daughter,"We go to a Waterbabies class every week, where my 16 month old is learning to swim. We do lots of activities in the water, such as learning to blow bubbles, using floats to aid swimming, splashing and learning how to save themselves should they ever fall in. I find this activity important as I enjoy spending time with my daughter and swimming is an important life skill.","I can give the day and time we go, Friday, 11.30am. We go every week except during the school holidays when there are no classes.",mQ247770,8,t
I am celebrating my sister's birthday with her by taking her out to a nice dinner at her favorite restaurant.,"I plan on picking her up after work and taking her to a great restaurant she loves with her favorite drinks and there's usually a good live band that plays later in the evening, so it should be a really fun night out to celebrate her birthday.","My sister is older, she loves going out to eat and she took me out for dinner for my birthday, so I'm returning the favor for her birthday!",Dg049604,9,t
Going camping with my daughter and a couple of friends and their kids,I'll be picking up my daughter from her summer camp on Friday afternoon and then driving down to the Abbotstone Wood campsite where we'll meet my friends Dave and Harvey and their kids.  We'll put up the tents while all the kids play and then have a nice dinner cooked over an open fire.  Saturday we're intending to go to Alice Holt Forest Park for the day before returning to the campsite in the evening.  Sunday morning is packed up day and coming home.,I've provided the location of both the campsite and also where we will be going on Saturday.  Also provided names of the people we are meeting,Io250142,10,t
Celebrating my mothers birthday by going for a meal,Going for some food at our favourite restaurant with my family to celebrate a milestone,"As we were all busy when it was her birthday so this is the first day off we all have from work, we also booked a table",Dz320148,11,t
I have to meet with my old work colleagues for lunch on Friday ,"I will walk up the town to my old office and I will meet my old workmates outside at around midday. From there we will walk round to the curryhouse for lunch. They have a lunchtime menu which is fairly cheap. During lunch we will chat about the office and about how life is going for everyone. After, those that are going back to work will go and the rest of us are likely to either go for a coffee on the walk home or for a pint at a pub.","Not sure I can, however I have advised how I will get there, info about the place, what will happen and what will happen after lunch. I trust that this will suffice.",Qx668616,12,t
Walking my dog before work each morning.,"I leave my house with my dog at 07:00 each workday (Mon-Fri). We proceed through a nearby park and head to the beach, if the tide is out. We come back along the same route and get home around 07:45.",My dog is a four-year old Jack Russell called Penny.,bq674268,13,t
Going to the zoo on the weekend with my partner and our daughter,We'll probably leave on Saturday morning around 10am. I'll need to pack a lunch for us all beforehand. When we get there our daughter will want to see the lions and butterflies first. Then we will have a picnic if the weather is still nice and then enjoy the rest of the afternoon there. I imagine we will leave at around 2pm,We have annual passes so this is something we are likely to do anyway. ,dn052170,14,t
Playing Bass guitar for a concert which starts Today and will end on wedsday next week .,"It involves playing the bass guitar in a band group involving the Pianist, drummer and chorist in a gospel music concerts in Manchester.",You may google the gospel concert coming up today to confirm.,CK600406,15,t
Hiking to the top of a pike for a picnic.,"We shall take our dogs, by car, to a local car park from which we can hike to the top of a local pike. We can see the pike from our home and we like to hike to the top for a picnic, once in every season, it's a tradition with us. Now is the time for our summer hike. However, because of the present heatwave, we shall be doing this in the early evening, not midday as we usually do. We take a packed lunch to eat at the summit.",We are regular walkers/hikers with our dogs. This pike is visible from our home but it is very high so we don't hike up it often. We like to go up once every season to see the changes in our landscape. ,pe123569,16,t
go to the movies on friday evening,i will go to the cinema on friday and watch a movie in the evening,i can't do anything other than repeating myself that i will go to the movies on friday,Qy150400,17,t
Redecorating the bathroom with a cork finish for more comfort.,"The house is old and insulation is poor, the intent is to line out the bathroom internally with cork tiles to improve individual comfort through the warm feeling that cork gives.
Cork tiles are self adhesive and will be primed with appropriate synthetic resin primer before applying at least two coats of an appropriate bathroom paint.
about 3/4 of the wall surface will be cork tiles, the remaining 1/4 ceramic wall tiles around shower/bath area.","The cork tiles have been purchased through Amazon are 4mm thick self adhesive, without sealant.
The synthetic resin primer has been purchased through an online construction materials company and the paint top coat finish will be purchased from a local high street shop.
The work should take 4 to 5 days including joint filling and sanding before primer is applied.",jx334260,18,t
Going for a walk in the Peak District with my girlfriend on the weekend.,"We live 20 minutes from the Peaks and have a book of local walks for us to experience. We'll pick one from the book, make up a quick packed lunch, and drive to the starting point. We'll walk for about 3 hours and stop for lunch along the way",We live in Sheffield so are only 20 minutes away from the Peaks. I work in London so only get to spend my weekends with her so we try to make the most of our time together when we're both in Sheffield. ,WB417700,19,t
