signevent,q1,q2,unid,id,outcome_class,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Emoji
My brothers wedding,"My little brother is getting married next Saturday, we have always been close as we lost our parents when we were in our late teens. I am so proud of the man he has become and love him dearly. The wedding is taking in an old castle and has taken much planning. He has found a wonderful partner in Kate and its going to be the most magical day. We have family and friends coming from far and wide to celebrate and I am super excited. My two sons are page boys and my brothers little one is a flower girl.",My brother and Kate have a daughter who will be flower girl.,FU304384,1,t,1,113,27.78,99,39.92,94.08,16.14,14.16,93.81,53.1,15.04,13.27,5.31,5.31,0,2.65,0,1.77,6.19,7.08,15.93,1.77,9.73,0,22.12,8.85,1.77,1.77,1.77,1.77,6.19,5.31,0.88,0,0,0.88,23.89,7.96,1.77,2.65,7.96,3.54,1.77,0,0,0.88,0.88,0,0,0,0,0,0.88,0,0,0,0,23.01,15.93,4.42,0,3.54,0,4.42,13.27,3.54,15.04,1.77,7.08,6.19,0,1.77,0.88,0,0,0,0,0,0,0,0,0,7.08,6.19,0.88,0,0,0,0,0,0,0,0,0,0
Going to collect 2 new pet rabbits,I will be driving for 80-90 minutes across London to collect 2 rabbits that I saw advertised on gumtree.,"I saw the as for them a week ago but was going away for the weekend so I asked it the current owners would keep them til tomorrow. I was very surprised when they said they would. My fiance is the driver and he agreed to drive me to pick them up, my 2 children will be coming as well. They have already decided to call one of the rabbits Cutie",jr125663,2,t,1,90,52.71,71.09,82.75,94.19,18,15.56,92.22,61.11,18.89,16.67,8.89,0,0,1.11,6.67,2.22,6.67,16.67,11.11,5.56,7.78,0,21.11,3.33,2.22,1.11,4.44,0,4.44,4.44,0,0,0,0,15.56,1.11,2.22,0,2.22,5.56,1.11,1.11,2.22,0,0,1.11,3.33,2.22,1.11,0,0,0,0,0,0,4.44,1.11,0,3.33,0,0,10,7.78,5.56,18.89,4.44,4.44,10,0,1.11,0,0,0,0,1.11,0,0,0,1.11,0,6.67,4.44,1.11,0,0,0,0,1.11,0,0,0,0,0
Getting dinner with my friend Shan and my boyfriend Geoff. Then going out to the gay bars in South London.,"We were planning to get dinner somewhere near where Shan lives, probably around Clapham Junction. I would also like Geoff, who is not from London but has recently moved here, to explore South London, as I think he would like it","I haven't seen Shan in a while and have been meaning to get dinner with him, along with my boyfriend Geoff, for some time now. This is because Shan runs a television studio and Geoff has just graduated and would like to work in television / media; I wanted the opportunity for Geoff to pick Shan's brain and get some ideas and reassurance.",xE150711,3,t,1,103,51.6,38.53,39.59,62.59,34.33,14.56,87.38,58.25,11.65,7.77,4.85,0.97,0,1.94,0,2.91,2.91,18.45,10.68,7.77,9.71,1.94,20.39,1.94,4.85,1.94,0,1.94,1.94,1.94,0,0,0,0,5.83,0,0.97,0,2.91,16.5,3.88,1.94,3.88,3.88,0,2.91,0.97,0.97,0,0,3.88,0.97,0.97,0,1.94,7.77,1.94,2.91,0,3.88,0,4.85,14.56,0.97,13.59,2.91,6.8,3.88,2.91,1.94,0.97,0,0,0,0,0,0,0,0,0,12.62,2.91,5.83,0,0.97,0,0,0,0,1.94,0,0.97,0
mountain bike ride with my boyfriend and daughter,We are going to cannock chase with the mountain bikes and my daughter in the trailer to have a day riding the mountain bike trails. we will also have a picnic and play at the park.,We will be taking our trek and wonder mountain bikes. The trail is around 10 miles long and we plan to do it on saturday morning before it gets too warm,RA263881,4,t,1,67,74.02,93.21,49.3,80.01,16.75,11.94,83.58,56.72,11.94,8.96,1.49,7.46,0,0,0,2.99,10.45,13.43,11.94,4.48,7.46,0,19.4,2.99,1.49,0,1.49,0,2.99,2.99,0,0,0,0,8.96,1.49,0,1.49,0,1.49,1.49,0,0,1.49,0,0,1.49,0,0,1.49,0,0,0,0,0,11.94,7.46,1.49,0,2.99,0,0,11.94,5.97,17.91,2.99,8.96,5.97,0,5.97,0,0,0,0,0,0,0,0,0,0,4.48,4.48,0,0,0,0,0,0,0,0,0,0,0
I will be going to the cat cafe in Glasgow on Tuesday for food and then to the cinema for a film.,"I will be getting up Tuesday morning to go into the city via train to meet with my best friend. We are going to have lunch at the Purrple Cat Cafe as neither of us have been before. Following this, we will make our way to the cinema to see a film, perhaps Mamma Mia 2, as a belated birthday treat for myself.","I have looked into the cat cafe to know that they serve food, and I have also checked for cinema listings which aren't due out until tomorrow unfortunately.",RD298286,5,t,1,91,84.75,58.68,89.63,45.98,22.75,14.29,89.01,58.24,14.29,10.99,5.49,4.4,0,0,1.1,3.3,6.59,21.98,10.99,2.2,5.49,2.2,20.88,5.49,5.49,1.1,1.1,0,3.3,2.2,1.1,0,0,0,7.69,0,1.1,0,0,5.49,1.1,1.1,0,1.1,0,2.2,2.2,2.2,0,0,4.4,0,0,0,4.4,9.89,6.59,1.1,2.2,2.2,0,2.2,13.19,4.4,19.78,3.3,8.79,7.69,0,5.49,0,0,0,0,0,0,0,0,0,0,9.89,4.4,4.4,0,0,0,0,0,0,1.1,0,0,0
Painting with friends at my local cafe.,"Sometimes on the weekends me and three of my friends like to head to our local coffee shop/cafe and paint together. We bring little sketchbooks lined with watercolor or gouache paper and set up camp near one of the bay windows with lots of good natural light.

 One of my friends is a black and white kinda guy but I like to paint in color. I bring 6 tiny pots of watercolors in an Altoids tin. It's very adorable. Everyone chats, paints, listens to music and indulges in an extra fancy latte...or several. Our sessions last for about 4 hours and  it's a pretty cozy fun time.",We all went to art school together and it's just a hobby we all formed. We usually start in the late mornings and paint til the afternoon.,rF553577,6,t,1,136,91.79,81.12,74.76,79.41,15.11,16.18,85.29,46.32,11.03,8.09,3.68,4.41,0,0,0,2.94,6.62,17.65,2.94,2.94,8.82,0,6.62,4.41,1.47,0,3.68,3.68,2.94,2.94,0,0,0,0,10.29,0,2.21,0,0.74,8.09,0,0,0,5.15,2.21,2.21,4.41,2.94,1.47,0,2.21,0.74,0,0,1.47,10.29,8.09,0,1.47,0.74,0,0.74,5.88,0,19.12,2.21,8.82,8.09,2.21,6.62,0.74,0.74,0,0,0.74,0,0.74,0,0,0,13.24,8.82,1.47,0,0,0,0,0,0,2.21,0,0.74,0
BBQ with friends on Friday,"A friend of mine is dog sitting for her parents. They live in a more rural location, it’s not far from town but feels like it’s the middle of nowhere. They have a small house surrounded by a lot of land which is great for an outdoor gathering and this current weather makes a bbq an obvious choice of activity.","I can provide more detail. We haven’t managed to get together as a large group in a while. There are 12 people invited although probably only half will make it (I’d expect myself, Annika, Sammy, Lou, Kelly and Ryan. The others are maybes). She’s dog sitting for Asbo (an elderly dog, I’m not sure of the breed but he’s massive and fluffy) and a Vizla who is younger and much more energetic - I can’t remember her name, something beginning with H).  There are also a load of chickens. Last time I visited, I was sent away with a dozen eggs",pv683916,7,t,1,160,63.14,45.04,67.65,61.33,16,16.88,85.63,54.38,14.38,9.38,5,0.63,0,2.5,1.25,5,10,11.88,10.63,3.13,6.88,3.13,16.88,6.88,4.38,1.25,1.88,3.75,1.88,1.88,0,0,0,0,11.25,0.63,0.63,1.88,0.63,12.5,1.88,1.25,0.63,1.88,1.88,5,0.63,0,0,0.63,1.88,0,0.63,0,1.25,7.5,3.75,0,2.5,1.25,0,3.13,13.75,1.25,15,1.25,10,3.75,0.63,0,0.63,0,0,0,0,0,0,0,0,0,19.38,5.63,5,0,0,0,0,0.63,0,5,3.13,0,0
Going swimming with my daughter,"We go to a Waterbabies class every week, where my 16 month old is learning to swim. We do lots of activities in the water, such as learning to blow bubbles, using floats to aid swimming, splashing and learning how to save themselves should they ever fall in. I find this activity important as I enjoy spending time with my daughter and swimming is an important life skill.","I can give the day and time we go, Friday, 11.30am. We go every week except during the school holidays when there are no classes.",mQ247770,8,t,1,94,66.74,70.27,96.52,93.02,18.8,18.09,91.49,48.94,12.77,11.7,5.32,4.26,0,0,2.13,1.06,5.32,13.83,6.38,6.38,7.45,1.06,17.02,2.13,2.13,3.19,3.19,3.19,4.26,4.26,0,0,0,0,8.51,1.06,0,1.06,0,12.77,4.26,2.13,1.06,1.06,3.19,1.06,0,0,0,0,2.13,0,1.06,0,1.06,7.45,4.26,1.06,2.13,0,0,0,11.7,0,22.34,7.45,3.19,11.7,7.45,4.26,0,1.06,0,0,0,0,0,0,0,0,12.77,6.38,6.38,0,0,0,0,0,0,0,0,0,0
I am celebrating my sister's birthday with her by taking her out to a nice dinner at her favorite restaurant.,"I plan on picking her up after work and taking her to a great restaurant she loves with her favorite drinks and there's usually a good live band that plays later in the evening, so it should be a really fun night out to celebrate her birthday.","My sister is older, she loves going out to eat and she took me out for dinner for my birthday, so I'm returning the favor for her birthday!",Dg049604,9,t,1,75,67.31,82.47,34.86,99,37.5,13.33,100,60,20,17.33,6.67,0,0,10.67,0,2.67,6.67,18.67,6.67,6.67,6.67,0,14.67,8,4,0,0,0,10.67,10.67,0,0,0,0,17.33,1.33,0,12,0,5.33,0,1.33,1.33,1.33,0,1.33,0,0,0,0,9.33,0,1.33,0,5.33,14.67,5.33,4,1.33,5.33,0,1.33,12,2.67,22.67,1.33,8,13.33,1.33,8,0,0,0,0,0,0,0,0,0,0,9.33,1.33,4,0,0,0,1.33,0,0,2.67,0,0,0
Going camping with my daughter and a couple of friends and their kids,I'll be picking up my daughter from her summer camp on Friday afternoon and then driving down to the Abbotstone Wood campsite where we'll meet my friends Dave and Harvey and their kids.  We'll put up the tents while all the kids play and then have a nice dinner cooked over an open fire.  Saturday we're intending to go to Alice Holt Forest Park for the day before returning to the campsite in the evening.  Sunday morning is packed up day and coming home.,I've provided the location of both the campsite and also where we will be going on Saturday.  Also provided names of the people we are meeting,Io250142,10,t,1,110,83.57,92.7,97.43,60.23,18.33,17.27,87.27,52.73,10,10,3.64,4.55,0,0.91,0.91,0,10,15.45,9.09,3.64,10,0,16.36,1.82,0.91,1.82,0,1.82,1.82,1.82,0,0,0,0,13.64,0.91,0.91,1.82,0,2.73,0,1.82,0,0,0.91,0,0.91,0,0,0.91,1.82,0,0,0,1.82,10.91,6.36,0,4.55,0,0,1.82,9.09,7.27,30,4.55,11.82,13.64,0.91,1.82,0.91,0,0,0,0,0,0,0,0,0,9.09,4.55,0,0,0,0,0,0,0,4.55,0,0,0
